Block ID, Dimensions, COM, Mass
0, [ 5. 13.  6.], [ 0.12021225 -2.0436083  -0.36063676], 193.11045292001086
1, [ 6.  14.5  5.5], [ 0.         -2.21477711  0.        ], 209.63050892001087
2, [5.5 9.  5.5], [0.27873636 1.2543136  0.27873636], 166.56774092001086
3, [5.5 8.5 5.5], [-0.28443759  1.13775036 -0.28443759], 163.22907692001084
4, [ 5.5 13.   5.5], [-0.24021727  0.         -0.24021727], 193.27705292001085
5, [6.  7.5 6. ], [-0.42277285 -0.8455457   0.        ], 164.72847692001085
6, [12.  5.  7.], [-1.76660578 -0.11777372 -0.58886859], 197.10885292001083
7, [11.5  5.5  7. ], [ 0.         -0.23298741  0.        ], 199.27465292001082
8, [ 6.  10.5  5.5], [ 0.3835197   1.53407881 -0.2556798 ], 181.58839692001084
9, [ 6.5  6.  10.5], [-0.48380411  0.36285308 -1.45141233], 191.93092492001082
10, [9.5 6.5 7. ], [-1.19498843  0.47799537  0.59749422], 194.26332492001086
11, [7. 7. 7.], [ 0.65302733 -0.65302733  0.        ], 177.74326892001085
